# Mwm name	Generation time
Denmark_Central Denmark Region	5127.5270439999995
France_Pays de la Loire_Maine-et-Loire	5120.268714
Germany_Saxony_Dresden	5102.646083
France_Centre-Val de Loire_Loiret	5083.520922
Belgium_Liege	5081.2086340000005
Belgium_West Flanders	5069.708294
Italy_Piemont_Torino	5054.905601
Argentina_Pampas	5032.7824519999995
US_Virginia_Norfolk	5030.721406
US_California_Sacramento_Sacramento	4982.225805
Brazil_South Region_West	4981.716754
US_Missouri_Springfield	4978.707735
Slovakia_Region of Banska Bystrica	4971.689288
Norway_Central	4949.887186
US_New Mexico_Roswell	4935.475487
UK_Wales	4934.688723
US_Nebraska_East	4928.920881
Poland_Swietokrzyskie Voivodeship	4910.380689
Somalia	4891.971633
Russia_Tatarstan	4882.993504
Australia_Sydney	4863.164675
Netherlands_Gelderland_Nijmegen	4847.878038
France_Brittany_Ille-et-Vilaine	4845.817813
Netherlands_Groningen	4840.672049
Peru_North	4828.360996
New Zealand South_Canterbury	4790.246765
South Korea_South	4751.722476
US_Florida_Orlando	4732.894802999999
US_Georgia_Macon	4732.186649
US_Washington_Yakima	4719.181278
Brazil_Parana_East	4718.805614
Poland_West Pomeranian Voivodeship	4697.260769
Hungary_Kozep-Magyarorszag	4691.665205
Netherlands_Overijssel_Zwolle	4687.946585
Germany_Hamburg_main	4680.803341
Canada_Ontario_Kingston	4676.653702
Russia_Moscow	4674.013056
France_Poitou-Charentes_Deux-Sevres	4633.242518
US_Kansas_Wichita	4617.204362
Congo-Kinshasa_West	4600.343202
France_Alsace_Bas-Rhin	4599.591383
Netherlands_Utrecht_Amersfoort	4589.309568
Brazil_Paraiba	4589.231488
Croatia_Central	4563.6790200000005
France_Lorraine_Moselle	4528.643426
US_California_LA North	4526.26655
Germany_Lower Saxony_Bremen_Bremen	4516.82941
France_Centre-Val de Loire_Indre	4494.0469
US_Wyoming	4485.975255
US_Louisiana_New Orleans	4482.4856709999995
Germany_North Rhine-Westphalia_Regierungsbezirk Munster_Recklinghausen	4463.436704
France_Languedoc-Roussillon_Herault	4449.219847
Afghanistan	4448.826683
France_Pays de la Loire_Loire-Atlantique_Nantes	4428.2706
France_Pays de la Loire_Vendee	4422.284884000001
France_Ile-de-France_Seine-et-Marne	4410.016494
Netherlands_North Holland_Zaandam	4350.628181
US_New Mexico_Albuquerque	4349.726668
Netherlands_Friesland	4336.831371
Japan_Kinki Region_Osaka_Osaka	4314.581279
US_New Jersey_South	4308.594537
Netherlands_North Holland_Alkmaar	4291.935771
Turkey_Southeastern Anatolia Region	4288.438214
Paraguay	4281.129656
France_Free County_North	4243.51369
UK_England_East of England_Norfolk	4224.536407
Czech_Stredni Cechy_West	4187.076933
Germany_Saxony-Anhalt_Halle	4161.619309
Ethiopia	4161.595497
Colombia_West	4129.643742
France_Lower Normandy_Calvados	4091.5487810000004
Moldova	4063.832638
US_Kentucky_Louisville	4060.924398
US_South Dakota	4027.059341
Canada_Ontario_London	4020.677342
Russia_Rostov Oblast	3991.729931
US_California_Sacramento_Stockton	3982.4750559999998
France_Picardy_Oise	3955.536133
Lithuania_East	3946.669875
